"Story","Title","Result","Date","Stability","Duration (s)"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong password","ERROR","2023-03-16T16:49:52.6641657+05:30[Asia/Calcutta]","0.0","0.18"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username and wrong password","ERROR","2023-03-16T16:49:52.8600524+05:30[Asia/Calcutta]","0.0","0.07"
"Login Scenarios of Easy Appointments Website","User try to login without entering username","ERROR","2023-03-16T16:49:52.9639931+05:30[Asia/Calcutta]","0.0","0.13"
"Login Scenarios of Easy Appointments Website","User try to login without entering password","ERROR","2023-03-16T16:49:53.1338951+05:30[Asia/Calcutta]","0.0","0.13"
"Login Scenarios of Easy Appointments Website","User try to login without entering username and password","ERROR","2023-03-16T16:49:53.2828076+05:30[Asia/Calcutta]","0.0","0.09"
"Login Scenarios of Easy Appointments Website","User try to login by entering password with capital alphabets","ERROR","2023-03-16T16:49:53.3957443+05:30[Asia/Calcutta]","0.0","0.07"
"Login Scenarios of Easy Appointments Website","User try to login to easy automation website by entering valid username and password","ERROR","2023-03-16T16:49:53.4826917+05:30[Asia/Calcutta]","0.0","0.07"
