"Story","Title","Result","Date","Stability","Duration (s)"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong password","SUCCESS","2023-03-30T12:44:03.2285598+05:30[Asia/Calcutta]","0.0","7.38"
"Login Scenarios of Easy Appointments Website","User will try to login with wrong username and wrong password","SUCCESS","2023-03-30T12:44:10.619338+05:30[Asia/Calcutta]","0.0","6.61"
"Login Scenarios of Easy Appointments Website","User try to login without entering username","SUCCESS","2023-03-30T12:44:17.2449475+05:30[Asia/Calcutta]","0.0","6.7"
"Login Scenarios of Easy Appointments Website","User try to login without entering password","SUCCESS","2023-03-30T12:44:23.960461+05:30[Asia/Calcutta]","0.0","7.09"
"Login Scenarios of Easy Appointments Website","User try to login without entering username and password","SUCCESS","2023-03-30T12:44:31.0641265+05:30[Asia/Calcutta]","0.0","6.19"
"Login Scenarios of Easy Appointments Website","User try to login by entering password with capital alphabets","SUCCESS","2023-03-30T12:44:37.2720421+05:30[Asia/Calcutta]","0.0","6.67"
